CTR,titleWords,adWords,depth,position,advCTR,advCTRInPos,queryCTR,queryCTRInPos,gender,age
0.1436,8,22,3,1,0.02,0.0227,0.0906,0.131,unknown,unknown
0.0025,5,17,1,1,0.0192,0.0195,0.0059,0.0066,male,31-40
0.0536,8,20,2,1,0.0336,0.0446,0.0252,0.0421,female,41+
0.075,7,24,3,2,0.0425,0.0308,0.0663,0.0648,female,19-24
0.2894,11,20,2,1,0.2254,0.2334,0.0241,0.0901,unknown,unknown
0.0,4,25,1,1,0.1105,0.1312,0.0136,0.0174,unknown,unknown
0.1622,7,27,3,2,0.0421,0.0301,0.0366,0.0237,unknown,unknown
0.021,9,19,2,2,0.083,0.0507,0.193,0.067,female,19-24
0.0116,14,24,2,1,0.0555,0.0689,0.0068,0.0093,female,25-30
0.0096,15,27,3,2,0.0514,0.0081,0.0794,0.0708,male,25-30
0.1481,8,26,2,2,0.0544,0.044,0.1345,0.0305,unknown,unknown
0.0,9,24,2,2,0.0017,0.0012,0.0023,0.0006,unknown,unknown
0.2439,4,14,2,2,0.0262,0.0215,0.0563,0.0359,female,41+
0.094,13,27,1,1,0.0795,0.0812,0.0,0.0,male,25-30
0.0,11,28,3,3,0.0153,0.0112,0.0956,0.0056,unknown,unknown
0.0488,4,21,1,1,0.1936,0.1958,0.0254,0.0406,female,19-24
0.0535,12,20,1,1,0.0556,0.0598,0.0266,0.04,female,19-24
0.0093,6,24,2,1,0.0284,0.0337,0.0061,0.0065,unknown,unknown
0.1176,6,10,3,1,0.0516,0.0539,0.0676,0.1099,male,31-40
0.038,11,31,1,1,0.0276,0.0435,0.0906,0.0915,male,19-24
0.0,12,25,2,1,0.0211,0.024,0.0261,0.0278,unknown,unknown
0.0672,9,20,2,1,0.0366,0.0484,0.0213,0.0337,male,19-24
0.0023,7,22,2,2,0.0426,0.0309,0.0883,0.0057,unknown,unknown
0.051,6,14,1,1,0.0273,0.0356,0.0534,0.0608,female,19-24
0.1806,14,28,2,1,0.0547,0.0593,0.1493,0.2011,unknown,unknown
0.1561,10,19,2,2,0.0484,0.0392,0.1024,0.0422,unknown,unknown
0.0695,6,14,1,1,0.0272,0.0355,0.0494,0.059,male,13-18
0.0149,7,15,2,1,0.0367,0.0406,0.0191,0.0208,female,19-24
0.096,12,25,2,1,0.0297,0.0374,0.0358,0.041,male,0-12
0.0092,6,14,2,2,0.0273,0.0221,0.0268,0.0136,female,13-18
0.0114,10,20,2,2,0.0283,0.0189,0.0316,0.0125,unknown,unknown
0.017,8,22,2,1,0.054,0.0674,0.0191,0.0204,unknown,unknown
0.0148,4,22,1,1,0.016,0.0179,0.0112,0.0156,male,41+
0.0125,10,18,2,1,0.0553,0.0689,0.0172,0.0222,male,25-30
0.0831,1,21,2,1,0.154,0.1601,0.015,0.0166,male,25-30
0.025,6,14,1,1,0.0273,0.0356,0.0316,0.0384,female,25-30
0.0019,11,24,2,2,0.0587,0.0508,0.0227,0.0065,male,13-18
0.0,6,18,2,1,0.0241,0.0296,0.0018,0.0021,male,13-18
0.0796,8,21,1,1,0.0426,0.0491,0.0082,0.0082,female,31-40
0.0222,16,20,2,2,0.0257,0.0212,0.0306,0.0166,male,31-40
0.1257,7,24,2,1,0.0899,0.1179,0.0908,0.1282,unknown,unknown
0.1306,9,24,1,1,0.0802,0.1033,0.0888,0.1065,female,25-30
0.0449,11,22,2,1,0.0189,0.03,0.0401,0.042,unknown,unknown
0.0345,12,29,1,1,0.0357,0.0622,0.0416,0.0595,female,31-40
0.0306,12,25,1,1,0.0272,0.0356,0.002,0.0023,female,13-18
0.0,13,26,2,2,0.0169,0.0172,0.0195,0.0047,male,19-24
0.1179,8,26,2,1,0.0425,0.0491,0.0393,0.0654,female,13-18
0.0276,12,21,2,1,0.008,0.0095,0.0238,0.0341,male,13-18
0.0684,10,23,1,1,0.0157,0.0201,0.0371,0.0432,male,0-12
0.0496,7,20,2,2,0.0694,0.0387,0.0444,0.0273,unknown,unknown
0.0971,13,31,2,1,0.0569,0.0814,0.0222,0.0287,female,25-30
0.1078,10,19,1,1,0.049,0.0549,0.0518,0.0985,unknown,unknown
0.007,7,15,3,2,0.1068,0.0878,0.0739,0.0191,female,25-30
0.009,5,19,1,1,0.0284,0.0337,0.0449,0.0496,female,19-24
0.0132,7,21,2,1,0.0236,0.0285,0.0208,0.0245,unknown,unknown
0.0625,4,18,3,3,0.0362,0.0199,0.0491,0.0214,male,25-30
0.0163,12,24,2,2,0.0191,0.0145,0.0319,0.0103,unknown,unknown
0.0496,8,16,2,1,0.0284,0.0336,0.0147,0.0297,male,19-24
0.0231,12,22,3,1,0.0276,0.0436,0.0538,0.0805,unknown,unknown
0.0476,5,11,2,1,0.1909,0.2212,0.032,0.0545,female,19-24
0.1682,11,28,2,1,0.039,0.0509,0.041,0.0611,male,19-24
0.011,10,21,2,2,0.0204,0.0173,0.089,0.0624,male,31-40
0.0283,6,15,1,1,0.0273,0.0356,0.0175,0.0194,male,31-40
0.2203,10,27,1,1,0.0694,0.0732,0.0,0.0,male,19-24
0.0,8,24,3,3,0.0284,0.0106,0.0311,0.0116,female,0-12
0.0213,9,19,2,2,0.0176,0.0087,0.1733,0.0461,unknown,unknown
0.0169,5,15,1,1,0.0285,0.0338,0.013,0.0272,female,25-30
0.08,7,21,2,1,0.0545,0.0708,0.1464,0.242,female,41+
0.0,7,28,2,2,0.0248,0.0198,0.1378,0.1225,male,19-24
0.0216,8,30,2,2,0.0574,0.028,0.0258,0.0099,unknown,unknown
0.0128,16,25,2,1,0.005,0.0057,0.0258,0.0361,male,25-30
0.0814,10,26,2,2,0.0426,0.0308,0.1174,0.087,male,41+
0.0118,10,19,1,1,0.029,0.0312,0.0,0.0,female,0-12
0.0112,10,19,2,2,0.0494,0.0412,0.0269,0.0191,male,19-24
0.0094,12,24,2,1,0.0251,0.0305,0.0133,0.033,female,25-30
0.4076,7,16,2,1,0.067,0.0858,0.1038,0.0455,unknown,unknown
0.016,3,21,2,2,0.0161,0.0098,0.0511,0.048,unknown,unknown
0.0064,11,26,2,1,0.0496,0.0557,0.002,0.0042,female,31-40
0.1382,9,23,3,1,0.1969,0.2072,0.1189,0.1587,male,19-24
0.1215,6,22,3,1,0.0372,0.0496,0.0713,0.1101,female,19-24
0.0243,7,15,1,1,0.1066,0.1234,0.0152,0.0176,female,19-24
0.25,13,23,3,1,0.0597,0.0648,0.0518,0.0671,female,25-30
0.1215,8,21,2,1,0.0426,0.0491,0.0582,0.0792,female,19-24
0.0,12,24,3,2,0.0126,0.0089,0.0022,0.0023,unknown,unknown
0.038,8,24,1,1,0.0202,0.0223,0.0466,0.0477,male,0-12
0.08,7,24,1,1,0.0331,0.0485,0.0103,0.0152,female,19-24
0.0417,4,18,2,2,0.0373,0.0287,0.0432,0.0252,male,19-24
0.4038,9,34,1,1,0.0644,0.1001,0.2109,0.2177,female,19-24
0.0645,10,26,2,2,0.0501,0.0527,0.1006,0.0739,female,25-30
0.07,8,25,2,1,0.0426,0.0491,0.025,0.0199,female,25-30
0.0124,10,27,3,2,0.0426,0.0309,0.051,0.0236,female,41+
0.0883,8,24,1,1,0.0273,0.0356,0.0679,0.0721,male,13-18
0.0274,6,16,1,1,0.0285,0.0337,0.0807,0.1114,male,19-24
0.0168,7,23,2,1,0.0427,0.0492,0.0133,0.0168,male,41+
0.0064,5,23,2,2,0.0426,0.0309,0.0215,0.0175,unknown,unknown
0.0962,10,23,3,2,0.0426,0.0307,0.0933,0.043,male,31-40
0.2468,9,23,2,1,0.1946,0.2041,0.1183,0.1524,male,25-30
0.0245,14,27,2,2,0.0472,0.0342,0.0433,0.0201,male,19-24
0.0,7,24,2,1,0.0341,0.0433,0.0,0.0,unknown,unknown
0.0364,7,21,2,2,0.0239,0.0189,0.0492,0.0473,male,25-30
0.0015,7,22,1,1,0.0248,0.0262,0.0036,0.0039,female,31-40
0.0457,6,26,2,1,0.0284,0.0337,0.0436,0.0559,male,19-24
0.0813,7,24,2,2,0.0426,0.0308,0.0368,0.0174,male,31-40
0.1256,11,25,2,2,0.0243,0.0489,0.0932,0.1049,female,19-24
0.0315,12,21,2,2,0.0666,0.0519,0.1447,0.0966,male,0-12
0.0085,3,25,1,1,0.0162,0.0182,0.0312,0.0017,female,0-12
0.0124,4,20,1,1,0.0359,0.0404,0.0375,0.0484,female,19-24
0.0541,13,19,2,2,0.0263,0.026,0.0469,0.0297,male,19-24
0.0129,12,29,1,1,0.0355,0.0617,0.1329,0.143,male,19-24
0.0201,8,20,2,1,0.0184,0.0247,0.0156,0.0195,male,19-24
0.0082,8,16,1,1,0.029,0.0312,0.0044,0.0053,male,19-24
0.1386,11,29,3,1,0.0565,0.0828,0.1142,0.1503,unknown,unknown
0.0526,8,24,2,1,0.0426,0.0491,0.0347,0.0533,unknown,unknown
0.0071,8,26,1,1,0.0311,0.0406,0.0038,0.0059,female,31-40
0.0528,10,22,2,2,0.0518,0.0728,0.041,0.0345,male,25-30
0.0688,7,27,3,3,0.0426,0.0161,0.1177,0.0512,unknown,unknown
0.0123,9,19,2,2,0.0273,0.0221,0.0212,0.0092,male,13-18
0.07,14,28,1,1,0.0409,0.0611,0.114,0.1142,female,31-40
0.1229,11,20,1,1,0.0471,0.0686,0.1147,0.1148,female,31-40
0.2096,10,24,2,1,0.1064,0.1241,0.0933,0.1473,male,25-30
0.1553,13,26,2,1,0.0271,0.0354,0.0388,0.0756,female,19-24
0.0026,11,22,1,1,0.0496,0.0557,0.004,0.004,female,19-24
0.0334,5,21,1,1,0.0238,0.0289,0.0221,0.0259,male,13-18
0.0091,7,25,3,3,0.0718,0.0201,0.064,0.052,male,19-24
0.0388,9,19,2,2,0.0784,0.0463,0.1723,0.059,male,25-30
0.0245,8,24,2,2,0.0426,0.0309,0.0514,0.0361,female,13-18
0.0848,9,25,1,1,0.0465,0.0615,0.0753,0.0775,male,19-24
0.0157,9,22,2,2,0.0246,0.0177,0.0231,0.0091,female,19-24
0.0865,10,21,1,1,0.0495,0.0556,0.0261,0.0325,male,13-18
0.0071,8,22,2,2,0.0345,0.0262,0.1006,0.036,unknown,unknown
0.0081,14,27,3,2,0.0445,0.02,0.0177,0.0115,unknown,unknown
0.2691,8,25,2,1,0.0686,0.0798,0.0585,0.0949,unknown,unknown
0.025,7,19,2,2,0.0273,0.0221,0.0504,0.0213,male,31-40
0.0599,1,22,2,1,0.0478,0.0551,0.0383,0.0543,unknown,unknown
0.063,6,23,3,2,0.0426,0.0308,0.0487,0.0384,male,19-24
0.0239,4,13,2,2,0.0284,0.0189,0.0419,0.0288,unknown,unknown
0.0,10,15,2,2,0.0217,0.0171,0.0153,0.001,male,19-24
0.0348,8,18,3,3,0.0344,0.0099,0.0694,0.0264,female,19-24
0.0256,7,26,2,2,0.0426,0.0308,0.0624,0.0489,male,25-30
0.0,8,23,2,2,0.0486,0.0349,0.0604,0.0158,male,25-30
0.0479,11,27,1,1,0.03,0.035,0.0596,0.0698,unknown,unknown
0.0893,7,25,2,1,0.0495,0.0714,0.0563,0.074,unknown,unknown
0.049,3,19,1,1,0.038,0.038,0.0075,0.0147,male,19-24
0.1221,7,24,2,1,0.0426,0.0491,0.0396,0.0506,female,31-40
0.1131,11,23,2,1,0.0493,0.0553,0.0173,0.0208,male,41+
0.0136,11,23,1,1,0.019,0.0243,0.0097,0.0114,male,31-40
0.0214,14,28,2,2,0.0436,0.0225,0.0679,0.0241,unknown,unknown
0.5946,7,23,1,1,0.1545,0.1561,0.0,0.0,male,0-12
0.0735,4,22,1,1,0.0173,0.0239,0.0382,0.0523,male,19-24
0.1631,10,27,2,1,0.0657,0.062,0.0898,0.1153,male,25-30
0.0099,9,23,2,1,0.0491,0.06,0.0328,0.0461,unknown,unknown
0.6081,6,25,1,1,0.5036,0.5058,0.0079,0.0091,male,31-40
0.0444,16,26,1,1,0.1034,0.1111,0.0,0.0,female,13-18
0.0552,10,28,3,1,0.0303,0.0352,0.0774,0.0981,male,19-24
0.0,10,15,2,2,0.0273,0.0221,0.0082,0.0019,male,13-18
0.0226,9,25,2,2,0.0572,0.0315,0.2337,0.0284,unknown,unknown
0.0463,12,30,1,1,0.0276,0.0448,0.0218,0.0283,male,13-18
0.0137,12,24,2,1,0.025,0.0303,0.0677,0.1438,unknown,unknown
0.0238,8,21,3,2,0.0426,0.0309,0.0381,0.0302,male,13-18
0.0805,11,25,2,2,0.0494,0.041,0.0946,0.0537,female,25-30
0.0255,10,12,1,1,0.0196,0.0209,0.0255,0.0325,male,13-18
0.0455,11,29,2,1,0.0573,0.082,0.0286,0.0314,male,25-30
0.2322,11,17,2,1,0.054,0.0702,0.023,0.0392,male,31-40
0.0226,7,22,3,2,0.0193,0.0102,0.0227,0.0164,unknown,unknown
0.0,12,14,2,2,0.0251,0.013,0.0607,0.0529,female,31-40
0.0055,4,19,3,3,0.0282,0.0075,0.0851,0.0076,unknown,unknown
0.0292,4,7,1,1,0.016,0.0179,0.0333,0.0451,unknown,unknown
0.0522,5,21,1,1,0.0385,0.0414,0.0049,0.007,female,0-12
0.0957,9,23,2,1,0.0432,0.0581,0.063,0.0747,unknown,unknown
0.1215,6,20,1,1,0.0897,0.0963,0.0042,0.005,female,19-24
0.0312,3,13,1,1,0.016,0.0179,0.0195,0.0292,female,25-30
0.0172,10,20,2,2,0.0345,0.0261,0.0528,0.0352,unknown,unknown
0.2071,6,25,1,1,0.0598,0.0717,0.1264,0.1264,female,41+
0.1556,10,15,2,1,0.0626,0.0691,0.0209,0.0164,male,41+
0.217,13,23,2,1,0.0538,0.0664,0.1069,0.164,unknown,unknown
0.0109,12,24,2,1,0.0192,0.0244,0.0319,0.042,female,13-18
0.0082,8,24,2,2,0.0427,0.0309,0.014,0.007,female,31-40
0.0724,4,7,2,1,0.0159,0.0178,0.0912,0.0968,male,19-24
0.0563,7,19,2,2,0.0273,0.0221,0.0251,0.0143,unknown,unknown
0.0152,7,28,3,3,0.0344,0.0099,0.1274,0.1119,female,31-40
0.0096,11,19,2,2,0.0494,0.0411,0.0267,0.02,male,19-24
0.0044,12,25,2,2,0.0379,0.0302,0.0304,0.0161,unknown,unknown
0.0105,12,25,3,2,0.0957,0.0497,0.0643,0.0702,unknown,unknown
0.0266,6,23,2,2,0.0369,0.0264,0.0537,0.0351,unknown,unknown
0.0,9,23,2,2,0.0085,0.0043,0.0047,0.0027,male,19-24
0.0247,8,8,1,1,0.0223,0.0268,0.0189,0.0224,male,19-24
0.0719,12,25,3,2,0.1098,0.1059,0.037,0.0307,male,25-30
0.0084,10,25,2,2,0.0257,0.0214,0.0709,0.0521,male,25-30
0.0335,12,24,2,1,0.0191,0.0243,0.0207,0.0245,male,31-40
0.084,14,28,2,1,0.0428,0.0636,0.0123,0.0395,female,25-30
0.0137,8,20,2,2,0.0195,0.0186,0.0276,0.0094,unknown,unknown
0.0,3,19,3,2,0.0161,0.0098,0.0235,0.0172,male,13-18
0.0883,14,25,2,1,0.1123,0.1176,0.0434,0.0568,male,13-18
0.1829,5,21,1,1,0.1713,0.1733,0.0027,0.0046,male,41+
0.0,9,21,2,2,0.0378,0.025,0.0275,0.0161,unknown,unknown
0.1741,13,28,1,1,0.0819,0.0938,0.0086,0.0095,unknown,unknown
0.0095,9,22,2,1,0.0796,0.0851,0.0188,0.0379,female,41+
0.0779,7,25,2,1,0.0239,0.029,0.0257,0.0354,female,19-24
0.1321,7,15,2,1,0.0273,0.0356,0.0929,0.1323,unknown,unknown
0.0517,6,14,1,1,0.0273,0.0356,0.0342,0.0348,female,13-18
0.0513,8,24,1,1,0.0273,0.0356,0.0152,0.0167,female,19-24
0.0417,6,16,1,1,0.0273,0.0356,0.0192,0.0205,male,19-24
0.0093,4,21,2,2,0.0385,0.0232,0.0376,0.0034,female,0-12
0.089,10,12,1,1,0.0279,0.0296,0.026,0.0309,unknown,unknown
0.0442,6,21,2,1,0.0427,0.0492,0.0145,0.0207,male,0-12
0.0,6,14,1,1,0.0274,0.0357,0.0,0.0,male,41+
0.0362,10,15,2,2,0.0045,0.0028,0.0298,0.0204,unknown,unknown
0.0632,8,16,1,1,0.0535,0.0684,0.0416,0.0639,male,19-24
0.014,11,30,2,2,0.0389,0.0196,0.1887,0.038,unknown,unknown
0.0524,13,34,2,1,0.0286,0.0427,0.0238,0.0362,female,19-24
0.1161,12,25,3,1,0.0919,0.1139,0.0888,0.1209,male,19-24
0.0,6,14,3,3,0.0273,0.0049,0.0086,0.0045,unknown,unknown
0.0206,8,30,2,2,0.0573,0.028,0.0231,0.0143,male,13-18
0.0,9,18,2,2,0.0345,0.0262,0.013,0.0085,female,13-18
0.2313,13,31,2,1,0.0567,0.081,0.0435,0.0631,female,13-18
0.0099,13,18,2,2,0.0547,0.0378,0.0455,0.0384,female,19-24
0.1079,6,14,1,1,0.0273,0.0356,0.0424,0.0483,male,25-30
0.1371,9,23,2,1,0.1952,0.2053,0.1156,0.1483,female,19-24
0.1014,10,27,2,1,0.0426,0.0491,0.0649,0.0942,male,13-18
0.0065,10,22,1,1,0.0211,0.0241,0.0121,0.0152,female,0-12
0.0039,8,23,3,3,0.0094,0.002,0.0175,0.005,unknown,unknown
0.0301,8,26,1,1,0.0426,0.0492,0.0131,0.0167,female,19-24
0.0855,7,21,2,1,0.0557,0.0725,0.1072,0.1851,female,31-40
0.0,6,18,2,2,0.0068,0.0054,0.0288,0.0103,female,19-24
0.0188,8,24,1,1,0.0159,0.0178,0.0046,0.0066,female,31-40
0.0082,5,15,3,1,0.016,0.0179,0.0803,0.1206,female,25-30
0.0273,3,25,2,1,0.0159,0.0179,0.0415,0.0719,female,25-30
0.082,3,12,1,1,0.0284,0.0336,0.0717,0.082,male,19-24
0.0,10,19,2,1,0.006,0.007,0.0139,0.0222,male,41+
0.0301,4,7,2,1,0.016,0.018,0.0584,0.0852,female,19-24
0.0748,12,26,2,2,0.0426,0.0308,0.111,0.0935,female,31-40
0.0361,12,24,1,1,0.0191,0.0243,0.0473,0.0511,male,13-18
0.037,9,21,3,1,0.0375,0.0529,0.0371,0.0442,unknown,unknown
0.0189,5,15,2,1,0.0284,0.0337,0.0118,0.0129,male,13-18
0.0485,7,20,2,2,0.0516,0.0445,0.0441,0.0353,unknown,unknown
0.0129,5,21,1,1,0.0384,0.0412,0.0814,0.0834,male,19-24
0.0935,9,20,2,1,0.0422,0.0613,0.084,0.119,unknown,unknown
0.093,10,17,1,1,0.0598,0.0727,0.0468,0.0516,unknown,unknown
0.1034,13,22,2,1,0.0525,0.0614,0.1955,0.2181,male,31-40
0.1494,9,23,2,1,0.1955,0.206,0.1164,0.1561,female,19-24
0.0335,6,21,2,2,0.0426,0.0308,0.0397,0.0222,female,19-24
0.0971,7,24,1,1,0.0273,0.0356,0.0386,0.0419,male,31-40
0.0303,7,25,1,1,0.0521,0.0483,0.0309,0.0408,male,0-12
0.0183,5,14,1,1,0.0284,0.0337,0.0251,0.0251,male,41+
0.0349,3,11,2,1,0.0611,0.0641,0.016,0.0249,unknown,unknown
0.103,8,21,3,1,0.0426,0.0491,0.0443,0.0585,unknown,unknown
0.0769,11,25,2,2,0.0493,0.041,0.127,0.0905,female,25-30
0.0057,8,24,2,1,0.0285,0.0337,0.019,0.0297,female,13-18
0.0217,7,23,1,1,0.0426,0.0492,0.0129,0.0133,male,31-40
0.1165,9,20,3,1,0.0908,0.1004,0.138,0.1885,male,25-30
0.0367,10,27,3,3,0.0303,0.01,0.0378,0.0287,unknown,unknown
0.0317,4,7,2,1,0.016,0.018,0.0612,0.1008,male,41+
0.0357,12,13,2,2,0.0223,0.0182,0.043,0.0409,unknown,unknown
0.0052,14,25,2,2,0.0453,0.0174,0.022,0.0023,unknown,unknown
0.0146,4,19,2,1,0.0606,0.0633,0.0505,0.0706,male,19-24
0.0,9,25,3,3,0.0249,0.0122,0.0,0.0,unknown,unknown
0.0822,12,26,1,1,0.084,0.0966,0.058,0.058,female,31-40
0.1156,2,22,2,2,0.1323,0.1006,0.0574,0.0116,male,0-12
0.1053,11,25,2,1,0.0493,0.0553,0.1097,0.1365,female,19-24
0.014,13,23,2,2,0.0285,0.019,0.081,0.037,male,19-24
0.108,9,19,1,1,0.0974,0.0998,0.0864,0.0961,unknown,unknown
0.0,8,30,2,1,0.0572,0.0818,0.0225,0.035,female,0-12
0.0538,6,20,1,1,0.0927,0.0992,0.0021,0.0041,male,25-30
0.0097,13,28,1,1,0.0265,0.031,0.022,0.0412,unknown,unknown
0.0404,7,15,1,1,0.0273,0.0356,0.0682,0.081,male,25-30
0.0997,14,25,1,1,0.0474,0.0521,0.033,0.0338,male,19-24
0.0955,4,14,1,1,0.0273,0.0355,0.0391,0.04,male,19-24
0.0756,12,26,2,1,0.0501,0.0647,0.0391,0.0518,unknown,unknown
0.0,13,25,1,1,0.044,0.078,0.0096,0.0118,female,19-24
0.082,14,25,3,1,0.0542,0.067,0.055,0.0823,unknown,unknown
0.0861,9,23,3,1,0.1418,0.1724,0.0585,0.0989,unknown,unknown
0.0149,13,29,3,3,0.0394,0.012,0.0537,0.022,unknown,unknown
0.0088,8,21,3,1,0.019,0.023,0.0073,0.0157,male,19-24
0.0453,8,24,1,1,0.0426,0.0492,0.0619,0.0702,female,13-18
0.0169,7,21,2,1,0.0174,0.018,0.0251,0.0347,unknown,unknown
0.0486,7,23,2,1,0.0136,0.0237,0.0971,0.1482,male,19-24
0.0091,9,22,1,1,0.0553,0.0804,0.0333,0.044,male,13-18
0.1202,6,24,2,1,0.0426,0.0491,0.0868,0.1151,male,19-24
0.0061,10,20,2,1,0.0552,0.0737,0.02,0.0282,unknown,unknown
0.0811,16,25,1,1,0.0437,0.0482,0.0353,0.0586,male,0-12
0.0167,5,15,1,1,0.0285,0.0337,0.0123,0.0124,unknown,0-12
0.0322,15,28,1,1,0.0436,0.0651,0.0195,0.021,male,25-30
0.1099,14,22,1,1,0.0443,0.0579,0.0,0.0,female,31-40
0.0522,10,22,3,1,0.0216,0.0295,0.0389,0.059,unknown,unknown
0.038,10,23,2,1,0.0494,0.0554,0.0137,0.0328,female,25-30
0.0085,6,20,2,1,0.0202,0.0327,0.0043,0.0046,female,19-24
0.0901,6,21,2,1,0.0239,0.0288,0.063,0.086,unknown,unknown
0.0087,9,31,3,1,0.0397,0.0434,0.0105,0.0253,female,19-24
0.0159,8,16,2,2,0.0273,0.0221,0.0084,0.0041,female,31-40
0.0462,5,14,1,1,0.0284,0.0337,0.0109,0.0116,male,13-18
0.0414,12,26,2,2,0.0494,0.0411,0.1194,0.0336,male,19-24
0.0884,11,19,2,1,0.0528,0.0559,0.0659,0.0901,unknown,unknown
0.058,6,22,2,1,0.0211,0.024,0.0489,0.0674,unknown,unknown
0.0395,7,20,2,1,0.0268,0.0356,0.0254,0.0374,female,25-30
0.0057,7,25,1,1,0.024,0.0291,0.0231,0.0265,female,19-24
0.0068,7,23,2,2,0.0239,0.0178,0.0124,0.001,unknown,unknown
0.0429,9,22,2,1,0.0284,0.0337,0.014,0.0219,unknown,unknown
0.0137,7,22,1,1,0.0098,0.0118,0.0056,0.0067,male,13-18
0.165,9,23,2,1,0.1945,0.2048,0.1224,0.1631,male,19-24
0.0069,11,29,2,2,0.0211,0.0076,0.1554,0.0186,unknown,unknown
0.0794,7,15,2,1,0.0273,0.0356,0.0611,0.0843,male,31-40
0.0057,11,26,1,1,0.0323,0.0416,0.0193,0.0383,male,31-40
0.0345,6,21,3,2,0.0426,0.0308,0.0439,0.0378,male,19-24
0.0426,4,13,2,1,0.0284,0.0337,0.0399,0.0612,male,25-30
0.0402,8,22,2,1,0.0188,0.0228,0.0146,0.0242,male,19-24
0.2183,11,22,2,1,0.0493,0.0552,0.0648,0.0824,male,13-18
0.0902,14,28,1,1,0.0426,0.0634,0.0,0.0,unknown,0-12
0.0614,8,12,2,1,0.0491,0.0533,0.0321,0.0367,male,19-24
0.0197,4,23,2,2,0.016,0.0098,0.0459,0.0304,unknown,unknown
0.0385,16,27,1,1,0.0442,0.0486,0.0869,0.113,unknown,unknown
0.1308,10,22,2,1,0.0825,0.0986,0.0307,0.0396,female,25-30
0.011,8,20,1,1,0.0415,0.0458,0.0177,0.0196,male,31-40
0.0292,8,20,2,2,0.0344,0.026,0.045,0.0365,female,31-40
0.035,6,21,2,1,0.0282,0.0367,0.0146,0.0308,male,19-24
0.0182,10,25,2,2,0.0465,0.0392,0.0321,0.0204,unknown,unknown
0.0248,17,37,2,2,0.0114,0.0091,0.0411,0.025,unknown,unknown
0.0291,9,22,1,1,0.057,0.0847,0.124,0.1531,unknown,unknown
0.0272,10,23,1,1,0.0426,0.0491,0.0876,0.1626,unknown,unknown
0.0462,5,23,1,1,0.0426,0.0491,0.023,0.0387,unknown,unknown
0.4083,4,14,2,1,0.0271,0.0353,0.0203,0.0395,female,0-12
0.034,8,26,1,1,0.0426,0.0491,0.0211,0.026,male,13-18
0.1553,8,26,2,1,0.0456,0.0576,0.0708,0.0996,unknown,unknown
0.0,9,10,3,2,0.027,0.0213,0.0123,0.0095,unknown,unknown
0.04,9,21,2,1,0.0679,0.0971,0.0783,0.1032,female,31-40
